+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
| topology |     metric     |     mean    |     min     |     max     |   stdev    | theorical |  difference | error_rate (%) |
|    28    |      rtt       |  112.103 ms |   0.000 ms  |  140.167 ms | 56.051 ms  |   140 ms  |  27.897 ms  |     19.93      |
|    28    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    29    | throughput_tcp |  3.960 Mbps |  3.358 Mbps |  4.592 Mbps | 0.497 Mbps |  5.0 Mbps |  1.040 Mbps |     20.81      |
|    29    |      rtt       |  72.062 ms  |   0.000 ms  |  180.155 ms | 88.257 ms  |   180 ms  |  107.938 ms |     59.97      |
|    29    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    30    | throughput_tcp | 58.598 Mbps | 58.597 Mbps | 58.602 Mbps | 0.002 Mbps | 90.0 Mbps | 31.402 Mbps |     34.89      |
|    30    |      rtt       |  144.098 ms |   0.000 ms  |  180.154 ms | 72.049 ms  |   180 ms  |  35.902 ms  |     19.95      |
|    30    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    31    | throughput_tcp |  1.728 Mbps |  1.702 Mbps |  1.785 Mbps | 0.030 Mbps |  2.0 Mbps |  0.272 Mbps |     13.60      |
|    31    |      rtt       |  96.061 ms  |   0.000 ms  |  240.153 ms | 117.650 ms |   240 ms  |  143.939 ms |     59.97      |
|    31    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    32    | throughput_tcp | 52.426 Mbps | 52.422 Mbps | 52.429 Mbps | 0.002 Mbps | 95.0 Mbps | 42.574 Mbps |     44.82      |
|    32    |      rtt       |  144.114 ms |   0.000 ms  |  240.248 ms | 117.669 ms |   240 ms  |  95.886 ms  |     39.95      |
|    32    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
