+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
| topology |     metric     |     mean    |     min     |     max     |   stdev    | theorical |  difference | error_rate (%) |
|    23    | throughput_tcp | 61.334 Mbps | 61.318 Mbps | 61.341 Mbps | 0.008 Mbps | 65.0 Mbps |  3.666 Mbps |      5.64      |
|    23    |      rtt       |  60.169 ms  |  60.125 ms  |  60.192 ms  |  0.024 ms  |   60 ms   |   0.169 ms  |      0.28      |
|    23    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    24    | throughput_tcp | 18.933 Mbps | 18.929 Mbps | 18.936 Mbps | 0.003 Mbps | 20.0 Mbps |  1.067 Mbps |      5.34      |
|    24    |      rtt       |  80.151 ms  |  80.098 ms  |  80.178 ms  |  0.029 ms  |   80 ms   |   0.151 ms  |      0.19      |
|    24    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    25    | throughput_tcp | 65.385 Mbps | 65.345 Mbps | 65.416 Mbps | 0.031 Mbps | 70.0 Mbps |  4.615 Mbps |      6.59      |
|    25    |      rtt       |  80.170 ms  |  80.132 ms  |  80.206 ms  |  0.029 ms  |   80 ms   |   0.170 ms  |      0.21      |
|    25    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    26    | throughput_tcp | 14.162 Mbps | 14.158 Mbps | 14.167 Mbps | 0.003 Mbps | 15.0 Mbps |  0.838 Mbps |      5.59      |
|    26    |      rtt       |  100.167 ms |  100.111 ms |  100.214 ms |  0.037 ms  |   100 ms  |   0.167 ms  |      0.17      |
|    26    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    27    | throughput_tcp |  9.390 Mbps |  9.387 Mbps |  9.395 Mbps | 0.003 Mbps | 10.0 Mbps |  0.610 Mbps |      6.10      |
|    27    |      rtt       |  140.180 ms |  140.148 ms |  140.207 ms |  0.022 ms  |   140 ms  |   0.180 ms  |      0.13      |
|    27    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    28    | throughput_tcp | 72.240 Mbps | 72.105 Mbps | 72.312 Mbps | 0.076 Mbps | 80.0 Mbps |  7.760 Mbps |      9.70      |
|    28    |      rtt       |  140.172 ms |  140.094 ms |  140.231 ms |  0.046 ms  |   140 ms  |   0.172 ms  |      0.12      |
|    28    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    29    | throughput_tcp |  4.397 Mbps |  4.380 Mbps |  4.419 Mbps | 0.015 Mbps |  5.0 Mbps |  0.603 Mbps |     12.06      |
|    29    |      rtt       |  180.179 ms |  180.130 ms |  180.210 ms |  0.028 ms  |   180 ms  |   0.179 ms  |      0.10      |
|    29    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    30    | throughput_tcp | 79.233 Mbps | 79.213 Mbps | 79.253 Mbps | 0.016 Mbps | 90.0 Mbps | 10.767 Mbps |     11.96      |
|    30    |      rtt       |  180.214 ms |  180.172 ms |  180.236 ms |  0.022 ms  |   180 ms  |   0.214 ms  |      0.12      |
|    30    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    31    | throughput_tcp |  1.731 Mbps |  1.659 Mbps |  1.783 Mbps | 0.059 Mbps |  2.0 Mbps |  0.269 Mbps |     13.47      |
|    31    |      rtt       |  240.156 ms |  240.080 ms |  240.195 ms |  0.044 ms  |   240 ms  |   0.156 ms  |      0.07      |
|    31    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    32    | throughput_tcp | 79.993 Mbps | 79.968 Mbps | 80.014 Mbps | 0.017 Mbps | 95.0 Mbps | 15.007 Mbps |     15.80      |
|    32    |      rtt       |  240.152 ms |  240.141 ms |  240.163 ms |  0.007 ms  |   240 ms  |   0.152 ms  |      0.06      |
|    32    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
